cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight
0x748a9d052671E8b561347e3BBbD9afe871Fe4bf7,,109600451,uniswap_v2 0x4200000000000000000000000000000000000042/0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x4200000000000000000000000000000000000042/0x7F5c764cBc14f9669B88837ca1490cCa17c31607,uniswap_v2,0.003,3e-09,0x748a9d052671E8b561347e3BBbD9afe871Fe4bf7,,0x4200000000000000000000000000000000000042,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,18,6,3,OP,USDCE,0,0,0,,,,,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa25C6bCD591719c181569C957EFF192a2c2A8013,,109819410,uniswap_v2 0x4200000000000000000000000000000000000006/0x491C36a78265dC7A37781aAde4fC251dB4a1abde,0x4200000000000000000000000000000000000006/0x491C36a78265dC7A37781aAde4fC251dB4a1abde,uniswap_v2,0.003,3e-09,0xa25C6bCD591719c181569C957EFF192a2c2A8013,,0x4200000000000000000000000000000000000006,0x491C36a78265dC7A37781aAde4fC251dB4a1abde,18,18,3,WETH,MEOW,0,0,0,,,,,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7549fa03715a7485C94a7A61917ab9A29e5d3c69,,110394449,uniswap_v2 0x3FfC783851a76B7880456864dc69F008c7e32ec7/0x4200000000000000000000000000000000000006,0x3FfC783851a76B7880456864dc69F008c7e32ec7/0x4200000000000000000000000000000000000006,uniswap_v2,0.003,3e-09,0x7549fa03715a7485C94a7A61917ab9A29e5d3c69,,0x3FfC783851a76B7880456864dc69F008c7e32ec7,0x4200000000000000000000000000000000000006,9,18,3,JEFE,WETH,0,0,0,,,,,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x3b3a003AAeCA552BdAd21c9af2d4Ba281FB547A6,,110394695,uniswap_v2 0x4200000000000000000000000000000000000006/0x9FD22a17b4A96Da3F83797d122172C450381fb88,0x4200000000000000000000000000000000000006/0x9FD22a17b4A96Da3F83797d122172C450381fb88,uniswap_v2,0.003,3e-09,0x3b3a003AAeCA552BdAd21c9af2d4Ba281FB547A6,,0x4200000000000000000000000000000000000006,0x9FD22a17b4A96Da3F83797d122172C450381fb88,18,9,3,WETH,JEFE,0,0,0,,,,,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x510B4C9F2346b4090Be45d9b5Fa7f0f9B55F2cd5,,111835675,uniswap_v2 0x4200000000000000000000000000000000000006/0x4bf7C16B7A6CDD2F0d207353BB68510ADFe07228,0x4200000000000000000000000000000000000006/0x4bf7C16B7A6CDD2F0d207353BB68510ADFe07228,uniswap_v2,0.003,3e-09,0x510B4C9F2346b4090Be45d9b5Fa7f0f9B55F2cd5,,0x4200000000000000000000000000000000000006,0x4bf7C16B7A6CDD2F0d207353BB68510ADFe07228,18,18,3,WETH,test,0,0,0,,,,,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xD8B9F3ABFF421E24ec47d2c55Cd9BD900D557c33,,113170382,uniswap_v2 0x33cf2f2bAd7dC15735c2964887Dc75F7a1e709d2/0x4200000000000000000000000000000000000006,0x33cf2f2bAd7dC15735c2964887Dc75F7a1e709d2/0x4200000000000000000000000000000000000006,uniswap_v2,0.003,3e-09,0xD8B9F3ABFF421E24ec47d2c55Cd9BD900D557c33,,0x33cf2f2bAd7dC15735c2964887Dc75F7a1e709d2,0x4200000000000000000000000000000000000006,18,18,3,Juna,WETH,0,0,0,,,,,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2E0F8B80275f9C1177D3B3c2c7bD18eDe6842f17,,113170405,uniswap_v2 0x4200000000000000000000000000000000000006/0x961b1Eae74FcD6A3266099860c3d8aF9C0bf4526,0x4200000000000000000000000000000000000006/0x961b1Eae74FcD6A3266099860c3d8aF9C0bf4526,uniswap_v2,0.003,3e-09,0x2E0F8B80275f9C1177D3B3c2c7bD18eDe6842f17,,0x4200000000000000000000000000000000000006,0x961b1Eae74FcD6A3266099860c3d8aF9C0bf4526,18,18,3,WETH,Juna,0,0,0,,,,,uniswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5174eb108d58616c47cDd17e2dbBEBf3899c9d97,,191,uniswap_v3 0xBBC9Ef6d88755bc816532367AF4554f804f33091/0xCAE1fC5f1bAA36B9BF67Ec47E68E0428175c7D2 3000,0xBBC9Ef6d88755bc816532367AF4554f804f33091/0xCAE1fC5f1bAA36B9BF67Ec47E68E0428175c7D2,uniswap_v3,3000.0,0.003,0x5174eb108d58616c47cDd17e2dbBEBf3899c9d97,,0xBBC9Ef6d88755bc816532367AF4554f804f33091,0xCAE1fC5f1bAA36B9BF67Ec47E68E0428175c7D20,8,8,4,OVM1,OVM2,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xb4A5D6C7b753fad996dd5fF576776073ef8aAbAE,,214,uniswap_v3 0x054FA6DC78dd2492072aa475C1b200D5e8787323/0x441cf0736C407092042C5E26c58a679216994D1 3000,0x054FA6DC78dd2492072aa475C1b200D5e8787323/0x441cf0736C407092042C5E26c58a679216994D1,uniswap_v3,3000.0,0.003,0xb4A5D6C7b753fad996dd5fF576776073ef8aAbAE,,0x054FA6DC78dd2492072aa475C1b200D5e8787323,0x441cf0736C407092042C5E26c58a679216994D1B,8,8,4,OVM1,OVM2,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd63A79b5fc589F3e3fc6E183d1755F7F6Cbd68c1,,46549,uniswap_v3 0x7FB688CCf682d58f86D7e38e03f9D22e7705448B/0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d 10000,0x7FB688CCf682d58f86D7e38e03f9D22e7705448B/0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d,uniswap_v3,10000.0,0.01,0xd63A79b5fc589F3e3fc6E183d1755F7F6Cbd68c1,,0x7FB688CCf682d58f86D7e38e03f9D22e7705448B,0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d9,18,18,4,RAI,SUSD,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2BF66333A6030316E41913B5D0c71c5b9DA58EA5,,64434,uniswap_v3 0x4200000000000000000000000000000000000006/0xe0BB0D3DE8c10976511e5030cA403dBf4c25165 3000,0x4200000000000000000000000000000000000006/0xe0BB0D3DE8c10976511e5030cA403dBf4c25165,uniswap_v3,3000.0,0.003,0x2BF66333A6030316E41913B5D0c71c5b9DA58EA5,,0x4200000000000000000000000000000000000006,0xe0BB0D3DE8c10976511e5030cA403dBf4c25165B,18,8,4,WETH,0XBTC,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd400A9a5328d7F8a35Fe00D28F2d422d8DE6c17e,,67155,uniswap_v3 0x7FB688CCf682d58f86D7e38e03f9D22e7705448B/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da 3000,0x7FB688CCf682d58f86D7e38e03f9D22e7705448B/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da,uniswap_v3,3000.0,0.003,0xd400A9a5328d7F8a35Fe00D28F2d422d8DE6c17e,,0x7FB688CCf682d58f86D7e38e03f9D22e7705448B,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,18,18,4,RAI,DAI,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xB82CaBe374d7758d2C6c14E191533F7E864dBb09,,102126,uniswap_v3 0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0xc7b04dC5A2644522a0C58c107346B5e3A63600B 3000,0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0xc7b04dC5A2644522a0C58c107346B5e3A63600B,uniswap_v3,3000.0,0.003,0xB82CaBe374d7758d2C6c14E191533F7E864dBb09,,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0xc7b04dC5A2644522a0C58c107346B5e3A63600B0,6,18,4,USDCE,SARCO,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8f477a5D632B5691A10A571575D55DC9C3D86d7C,,116543,uniswap_v3 0x4200000000000000000000000000000000000006/0x9Bcef72be871e61ED4fBbc7630889beE758eb81 3000,0x4200000000000000000000000000000000000006/0x9Bcef72be871e61ED4fBbc7630889beE758eb81,uniswap_v3,3000.0,0.003,0x8f477a5D632B5691A10A571575D55DC9C3D86d7C,,0x4200000000000000000000000000000000000006,0x9Bcef72be871e61ED4fBbc7630889beE758eb81D,18,18,4,WETH,RETH,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2AB2AfDe2a9284540e37514e217A710305faA012,,172872,uniswap_v3 0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0x94b008aA00579c1307B0EF2c499aD98a8ce58e5 10000,0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0x94b008aA00579c1307B0EF2c499aD98a8ce58e5,uniswap_v3,10000.0,0.01,0x2AB2AfDe2a9284540e37514e217A710305faA012,,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x94b008aA00579c1307B0EF2c499aD98a8ce58e58,6,6,4,USDCE,USDT,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa21262dd366DE3Af463823E20AeD3c4ADeC22e5F,,183295,uniswap_v3 0x7FB688CCf682d58f86D7e38e03f9D22e7705448B/0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d 500,0x7FB688CCf682d58f86D7e38e03f9D22e7705448B/0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d,uniswap_v3,500.0,0.0005,0xa21262dd366DE3Af463823E20AeD3c4ADeC22e5F,,0x7FB688CCf682d58f86D7e38e03f9D22e7705448B,0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d9,18,18,4,RAI,SUSD,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x1D366D04a3E97ef702668763c13DA1C32635BfDb,,286753,uniswap_v3 0x6fd9d7AD17242c41f7131d257212c54A0e816691/0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B 10000,0x6fd9d7AD17242c41f7131d257212c54A0e816691/0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B,uniswap_v3,10000.0,0.01,0x1D366D04a3E97ef702668763c13DA1C32635BfDb,,0x6fd9d7AD17242c41f7131d257212c54A0e816691,0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B4,18,18,4,UNI,SNX,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xE62bd99a9501ca33D98913105Fc2BeC5BAE6e5dD,,328936,uniswap_v3 0x4200000000000000000000000000000000000006/0xF98dCd95217E15E05d8638da4c91125E59590B0 3000,0x4200000000000000000000000000000000000006/0xF98dCd95217E15E05d8638da4c91125E59590B0,uniswap_v3,3000.0,0.003,0xE62bd99a9501ca33D98913105Fc2BeC5BAE6e5dD,,0x4200000000000000000000000000000000000006,0xF98dCd95217E15E05d8638da4c91125E59590B07,18,18,4,WETH,KROM,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xaeE0a6D42D10491d36e6a1b922741933609AC1be,,375595,uniswap_v3 0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B 10000,0x7F5c764cBc14f9669B88837ca1490cCa17c31607/0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B,uniswap_v3,10000.0,0.01,0xaeE0a6D42D10491d36e6a1b922741933609AC1be,,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B4,6,18,4,USDCE,SNX,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x66B0C7c9d7678B46a935fbc42005F25a48807a98,,409972,uniswap_v3 0xab3F8a9599D62f09A71d7337dFfF4458a4C7fe27/0xDb21BB0389b616BB2EBDE855975Df4F2Ce9fB74 3000,0xab3F8a9599D62f09A71d7337dFfF4458a4C7fe27/0xDb21BB0389b616BB2EBDE855975Df4F2Ce9fB74,uniswap_v3,3000.0,0.003,0x66B0C7c9d7678B46a935fbc42005F25a48807a98,,0xab3F8a9599D62f09A71d7337dFfF4458a4C7fe27,0xDb21BB0389b616BB2EBDE855975Df4F2Ce9fB74F,18,18,4,vETH,vUSD,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0aa982fb10b276592652B14dC070fe7CF2DFe4ce,,410066,uniswap_v3 0x64b18e6d7B4693F86Aa12c1724f1E195232bF044/0xDb21BB0389b616BB2EBDE855975Df4F2Ce9fB74 3000,0x64b18e6d7B4693F86Aa12c1724f1E195232bF044/0xDb21BB0389b616BB2EBDE855975Df4F2Ce9fB74,uniswap_v3,3000.0,0.003,0x0aa982fb10b276592652B14dC070fe7CF2DFe4ce,,0x64b18e6d7B4693F86Aa12c1724f1E195232bF044,0xDb21BB0389b616BB2EBDE855975Df4F2Ce9fB74F,18,18,4,vBTC,vUSD,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x44F6b92aEed70ec72DCab6F5C65B5a6c94762A95,,425712,uniswap_v3 0x00F932F0FE257456b32dedA4758922E56A4F4b42/0x420000000000000000000000000000000000000 10000,0x00F932F0FE257456b32dedA4758922E56A4F4b42/0x420000000000000000000000000000000000000,uniswap_v3,10000.0,0.01,0x44F6b92aEed70ec72DCab6F5C65B5a6c94762A95,,0x00F932F0FE257456b32dedA4758922E56A4F4b42,0x4200000000000000000000000000000000000006,18,18,4,PAPER,WETH,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x059CFe14EB65a9E7D280336e4376910F9ed21841,,438538,uniswap_v3 0x28D8a1a6BDEAF9d42dA6A55da8a34710e3434B97/0xE402d5eef58aad816D7240e50F20922F53A8171 3000,0x28D8a1a6BDEAF9d42dA6A55da8a34710e3434B97/0xE402d5eef58aad816D7240e50F20922F53A8171,uniswap_v3,3000.0,0.003,0x059CFe14EB65a9E7D280336e4376910F9ed21841,,0x28D8a1a6BDEAF9d42dA6A55da8a34710e3434B97,0xE402d5eef58aad816D7240e50F20922F53A81711,18,18,4,vETH,vUSD,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x62F3a233FE80f075445c422203f89f2EdBC797F7,,438628,uniswap_v3 0x0a03498EC169247F81761D9b67BF5B206fF0c0Fc/0xE402d5eef58aad816D7240e50F20922F53A8171 3000,0x0a03498EC169247F81761D9b67BF5B206fF0c0Fc/0xE402d5eef58aad816D7240e50F20922F53A8171,uniswap_v3,3000.0,0.003,0x62F3a233FE80f075445c422203f89f2EdBC797F7,,0x0a03498EC169247F81761D9b67BF5B206fF0c0Fc,0xE402d5eef58aad816D7240e50F20922F53A81711,18,18,4,vBTC,vUSD,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8BD1aAa7d3B121Bf9b8346263b5A2DeACd0268A8,,460685,uniswap_v3 0x6fd9d7AD17242c41f7131d257212c54A0e816691/0x7F5c764cBc14f9669B88837ca1490cCa17c3160 500,0x6fd9d7AD17242c41f7131d257212c54A0e816691/0x7F5c764cBc14f9669B88837ca1490cCa17c3160,uniswap_v3,500.0,0.0005,0x8BD1aAa7d3B121Bf9b8346263b5A2DeACd0268A8,,0x6fd9d7AD17242c41f7131d257212c54A0e816691,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,18,6,4,UNI,USDCE,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xf3724A1c36c21B7cE558602cD6c031d5778660f4,,465990,uniswap_v3 0x4200000000000000000000000000000000000006/0x65559aA14915a70190438eF90104769e5E890A0 10000,0x4200000000000000000000000000000000000006/0x65559aA14915a70190438eF90104769e5E890A0,uniswap_v3,10000.0,0.01,0xf3724A1c36c21B7cE558602cD6c031d5778660f4,,0x4200000000000000000000000000000000000006,0x65559aA14915a70190438eF90104769e5E890A00,18,18,4,WETH,ENS,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xD359F70d8666c9f06aFB5f4544A1f81e624dC7C4,,495520,uniswap_v3 0x68f180fcCe6836688e9084f035309E29Bf0A2095/0xc98B98d17435AA00830c87eA02474C5007E1f27 500,0x68f180fcCe6836688e9084f035309E29Bf0A2095/0xc98B98d17435AA00830c87eA02474C5007E1f27,uniswap_v3,500.0,0.0005,0xD359F70d8666c9f06aFB5f4544A1f81e624dC7C4,,0x68f180fcCe6836688e9084f035309E29Bf0A2095,0xc98B98d17435AA00830c87eA02474C5007E1f272,8,18,4,WBTC,BitBTC,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x81a53cf23579cB251068a2D62AE8b2071ebe5A7d,,496548,uniswap_v3 0x4200000000000000000000000000000000000006/0x5029C236320b8f15eF0a657054B84d90bfBEDED 3000,0x4200000000000000000000000000000000000006/0x5029C236320b8f15eF0a657054B84d90bfBEDED,uniswap_v3,3000.0,0.003,0x81a53cf23579cB251068a2D62AE8b2071ebe5A7d,,0x4200000000000000000000000000000000000006,0x5029C236320b8f15eF0a657054B84d90bfBEDED3,18,18,4,WETH,BitANT,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x36B18618c4131D8564A714fb6b4D2B1EdADc0042,,513635,uniswap_v3 0x8C835DFaA34e2AE61775e80EE29E2c724c6AE2BB/0xC84Da6c8ec7A57cD10B939E79eaF9d2D17834E0 3000,0x8C835DFaA34e2AE61775e80EE29E2c724c6AE2BB/0xC84Da6c8ec7A57cD10B939E79eaF9d2D17834E0,uniswap_v3,3000.0,0.003,0x36B18618c4131D8564A714fb6b4D2B1EdADc0042,,0x8C835DFaA34e2AE61775e80EE29E2c724c6AE2BB,0xC84Da6c8ec7A57cD10B939E79eaF9d2D17834E04,18,18,4,vETH,vUSD,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xC64f9436f8Ca50CDCC096105C62DaD52FAEb1f2e,,513670,uniswap_v3 0x86f1e0420c26a858fc203A3645dD1A36868F18e5/0xC84Da6c8ec7A57cD10B939E79eaF9d2D17834E0 3000,0x86f1e0420c26a858fc203A3645dD1A36868F18e5/0xC84Da6c8ec7A57cD10B939E79eaF9d2D17834E0,uniswap_v3,3000.0,0.003,0xC64f9436f8Ca50CDCC096105C62DaD52FAEb1f2e,,0x86f1e0420c26a858fc203A3645dD1A36868F18e5,0xC84Da6c8ec7A57cD10B939E79eaF9d2D17834E04,18,18,4,vBTC,vUSD,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x34f7ffE0Ab212476a878F6277568f55D6927b251,,519994,uniswap_v3 0x4200000000000000000000000000000000000006/0x65559aA14915a70190438eF90104769e5E890A0 3000,0x4200000000000000000000000000000000000006/0x65559aA14915a70190438eF90104769e5E890A0,uniswap_v3,3000.0,0.003,0x34f7ffE0Ab212476a878F6277568f55D6927b251,,0x4200000000000000000000000000000000000006,0x65559aA14915a70190438eF90104769e5E890A00,18,18,4,WETH,ENS,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xB8B2283a35c4a7920a5cD3900e1ca36b20d5fA86,,525026,uniswap_v3 0x68f180fcCe6836688e9084f035309E29Bf0A2095/0xc98B98d17435AA00830c87eA02474C5007E1f27 3000,0x68f180fcCe6836688e9084f035309E29Bf0A2095/0xc98B98d17435AA00830c87eA02474C5007E1f27,uniswap_v3,3000.0,0.003,0xB8B2283a35c4a7920a5cD3900e1ca36b20d5fA86,,0x68f180fcCe6836688e9084f035309E29Bf0A2095,0xc98B98d17435AA00830c87eA02474C5007E1f272,8,18,4,WBTC,BitBTC,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x87904cAC76cC45578D51016Bc42B677812298c23,,525183,uniswap_v3 0x4200000000000000000000000000000000000006/0x5029C236320b8f15eF0a657054B84d90bfBEDED 10000,0x4200000000000000000000000000000000000006/0x5029C236320b8f15eF0a657054B84d90bfBEDED,uniswap_v3,10000.0,0.01,0x87904cAC76cC45578D51016Bc42B677812298c23,,0x4200000000000000000000000000000000000006,0x5029C236320b8f15eF0a657054B84d90bfBEDED3,18,18,4,WETH,BitANT,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xAEfC1edaeDE6ADaDcdF3bB344577D45A80B19582,,540150,uniswap_v3 0x4200000000000000000000000000000000000006/0x9Bcef72be871e61ED4fBbc7630889beE758eb81 500,0x4200000000000000000000000000000000000006/0x9Bcef72be871e61ED4fBbc7630889beE758eb81,uniswap_v3,500.0,0.0005,0xAEfC1edaeDE6ADaDcdF3bB344577D45A80B19582,,0x4200000000000000000000000000000000000006,0x9Bcef72be871e61ED4fBbc7630889beE758eb81D,18,18,4,WETH,RETH,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xf3a977dEFFe00320dFFDfe274D9Fd624aB8DF042,,540768,uniswap_v3 0x68f180fcCe6836688e9084f035309E29Bf0A2095/0xc98B98d17435AA00830c87eA02474C5007E1f27 10000,0x68f180fcCe6836688e9084f035309E29Bf0A2095/0xc98B98d17435AA00830c87eA02474C5007E1f27,uniswap_v3,10000.0,0.01,0xf3a977dEFFe00320dFFDfe274D9Fd624aB8DF042,,0x68f180fcCe6836688e9084f035309E29Bf0A2095,0xc98B98d17435AA00830c87eA02474C5007E1f272,8,18,4,WBTC,BitBTC,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5645cf1F6920a280Fa68Ecd00e1656c404CF5DBe,,549662,uniswap_v3 0x7c6b91D9Be155A6Db01f749217d76fF02A7227F2/0x7F5c764cBc14f9669B88837ca1490cCa17c3160 3000,0x7c6b91D9Be155A6Db01f749217d76fF02A7227F2/0x7F5c764cBc14f9669B88837ca1490cCa17c3160,uniswap_v3,3000.0,0.003,0x5645cf1F6920a280Fa68Ecd00e1656c404CF5DBe,,0x7c6b91D9Be155A6Db01f749217d76fF02A7227F2,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,18,6,4,SARCO,USDCE,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2d1E60e6f2d3e19CB50E54075C09f0D415C4f407,,654673,uniswap_v3 0x4200000000000000000000000000000000000006/0x5A5fFf6F753d7C11A56A52FE47a177a87e43165 10000,0x4200000000000000000000000000000000000006/0x5A5fFf6F753d7C11A56A52FE47a177a87e43165,uniswap_v3,10000.0,0.01,0x2d1E60e6f2d3e19CB50E54075C09f0D415C4f407,,0x4200000000000000000000000000000000000006,0x5A5fFf6F753d7C11A56A52FE47a177a87e431655,18,18,4,WETH,SYN,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xe32f6b5c77d044077F61D105bae89D338FF23bb8,,688952,uniswap_v3 0x6fd9d7AD17242c41f7131d257212c54A0e816691/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da 500,0x6fd9d7AD17242c41f7131d257212c54A0e816691/0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da,uniswap_v3,500.0,0.0005,0xe32f6b5c77d044077F61D105bae89D338FF23bb8,,0x6fd9d7AD17242c41f7131d257212c54A0e816691,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,18,18,4,UNI,DAI,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6c3428e346302B800e8713415dc4afc8C7ffD96f,,689027,uniswap_v3 0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6/0x7FB688CCf682d58f86D7e38e03f9D22e7705448 10000,0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6/0x7FB688CCf682d58f86D7e38e03f9D22e7705448,uniswap_v3,10000.0,0.01,0x6c3428e346302B800e8713415dc4afc8C7ffD96f,,0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6,0x7FB688CCf682d58f86D7e38e03f9D22e7705448B,18,18,4,LINK,RAI,0,0,0,0,0,0,200,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7D29d442B20e81e36F97e82c80dd3ad2D26e62b5,,754566,uniswap_v3 0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6/0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B 500,0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6/0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B,uniswap_v3,500.0,0.0005,0x7D29d442B20e81e36F97e82c80dd3ad2D26e62b5,,0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6,0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B4,18,18,4,LINK,SNX,0,0,0,0,0,0,10,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xC82f1f366c1e264d2726cdDc83ee8132B9c81754,,777276,uniswap_v3 0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6/0x6fd9d7AD17242c41f7131d257212c54A0e81669 3000,0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6/0x6fd9d7AD17242c41f7131d257212c54A0e81669,uniswap_v3,3000.0,0.003,0xC82f1f366c1e264d2726cdDc83ee8132B9c81754,,0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6,0x6fd9d7AD17242c41f7131d257212c54A0e816691,18,18,4,LINK,UNI,0,0,0,0,0,0,60,uniswap_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
